Major,Degree Type,Early Career Pay,Mid Career Pay
Merchandising,Bachelors,59300,83600
Romance Languages,Bachelors,57400,83600
Environmental Health Science,Bachelors,61500,83500
Criminology,Bachelors,50700,83400
Psychology,Bachelors,51000,83400
Cardiopulmonary Science,Bachelors,56500,83200
Labor Studies,Bachelors,53700,83200
Medical Laboratory Technology,Bachelors,64300,83000
Visual Communications,Bachelors,51200,83000
Audio Engineering,Bachelors,53800,82800
Middle Eastern Studies,Bachelors,65300,82700
Health,Bachelors,49600,82700
Hospitality Management,Bachelors,53100,82600
Health Care Management,Bachelors,51700,82600
Painting & Printmaking,Bachelors,39300,82600
Multimedia & Web Design,Bachelors,55700,82500
Health Administration,Bachelors,48700,82400
Natural Resource Management,Bachelors,52800,82400
Psychology & Social Behavior,Bachelors,51100,82400
Communication Management,Bachelors,51700,82300
Health Sciences,Bachelors,50700,82300
Nutrition Science,Bachelors,57100,82300
Web Design,Bachelors,53900,82300
Health Management,Bachelors,50400,82200
Life Sciences,Bachelors,59700,82200
Anthropology,Bachelors,53200,82100
Music,Bachelors,51000,82100
Ecology,Bachelors,53200,82000
Human Resources Development,Bachelors,55200,82000
SocialStudies,Bachelors,52700,82000
New Media,Bachelors,51600,81900
Psychiatry,Bachelors,64300,81900
Sociology,Bachelors,52800,81800
Health Care Administration,Bachelors,52100,81600
Interior Design,Bachelors,51300,81500
Respiratory Care,Bachelors,61800,81500
Health Information Management,Bachelors,55000,81300
Art & Design,Bachelors,51100,81300
Child Psychology,Bachelors,48400,81100
Clinical Laboratory Science,Bachelors,61700,81000
Diagnostic Medical Imaging,Bachelors,68300,81000
Humanities,Bachelors,55900,81000
Medical Laboratory Science,Bachelors,62700,81000
Theater,Bachelors,51200,81000
Kinesiology,Bachelors,51100,80900
Exercise Physiology,Bachelors,49100,80800
Forensic Accounting,Bachelors,51900,80800
Secondary Education,Bachelors,50700,80800
Multidisciplinary Studies,Bachelors,49600,80700
Archaeology,Bachelors,51100,80500
Communication Arts,Bachelors,47800,80500
Arts & Science,Bachelors,51700,80400
Illustration,Bachelors,51300,80400
Sustainability,Bachelors,54900,80400
Hotel & Restaurant Tourism,Bachelors,48900,80300
Radiography,Bachelors,62400,80300
Media Communication,Bachelors,53000,80200
Respiratory Therapy,Bachelors,61800,80200
Applied Behavior Analysis,Bachelors,43400,80000
Technology Teacher Education,Bachelors,54000,79800
Professional Studies,Bachelors,47500,79300
Communications Technology,Bachelors,52500,79200
Biological Anthropology,Bachelors,52200,79000
Art Therapy,Bachelors,46100,79000
Commercial Photography,Bachelors,48900,79000
Liberal Studies,Bachelors,51000,78900
Radio & Television,Bachelors,49000,78900
Nutrition,Bachelors,52800,78600
Plant Sciences,Bachelors,55500,78400
Graphic Design,Bachelors,51300,78300
Legal Studies,Bachelors,53300,78200
Nutrition & Dietetics,Bachelors,57200,78200
Turfgrass Management,Bachelors,53300,78100
Dietetics,Bachelors,57500,78000
Interdisciplinary Studies (IS),Bachelors,50700,78000
Fashion Design & Marketing,Bachelors,55900,77900
Applied Sociology,Bachelors,47500,77800
Hospital Management,Bachelors,62300,77800
Religion,Bachelors,50500,77800
Medical Technology,Bachelors,61000,77700
Art Administration,Bachelors,45600,77600
Criminal Justice,Bachelors,48600,77600
Fine Arts,Bachelors,49000,77600
Criminal Law,Bachelors,62800,77400
Forensic Science,Bachelors,51300,77400
Philosophy & Religious Studies,Bachelors,55600,77300
Public Health (PH),Bachelors,52300,77300
Speech-Language Pathology,Bachelors,49600,77100
Landscape Management,Bachelors,58700,77000
Women's Studies,Bachelors,51200,77000
Forensic Psychology,Bachelors,48300,76900
Modern Language Spanish,Bachelors,51100,76900
Educational Studies (ED),Bachelors,45300,76800
Physical Geography,Bachelors,55000,76800
Culture Studies,Bachelors,50700,76700
Pastoral Studies,Bachelors,58900,76700
Dramatic Art,Bachelors,47100,76600
Music Industry,Bachelors,52200,76400
Performing Arts,Bachelors,51300,76300
African American & African Studies,Bachelors,54300,76100
Animal Science,Bachelors,46800,76000
Ornamental Horticulture,Bachelors,51600,76000
Hospitality & Tourism,Bachelors,51400,75900
Education,Bachelors,50600,75800
Foods & Nutrition,Bachelors,52800,75300
Fashion & Retail Management,Bachelors,55800,75000
Music Composition,Bachelors,49400,74900
Small Business Management,Bachelors,52900,74900
Clinical Nutrition,Bachelors,58700,74800
Painting,Bachelors,47400,74700
Speech Pathology & Audiology,Bachelors,51400,74600
Psychology & Sociology,Bachelors,48600,74400
Physical Education Teaching,Bachelors,48000,74400
Clinical Psychology,Bachelors,47500,74300
Health Studies,Bachelors,49500,74200
Instrumental Music Teacher Education,Bachelors,48000,74200
Technical Theatre,Bachelors,46400,74100
